epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.39714798901259274,0.39714798901259274,0.42883351431044314,0.5842750119247138,0.35875196612801036,0.35875196612801036,0.3932768240806399,0.4955975758471017
2,0.3869771960824157,0.3869771960824157,0.4208436557733502,0.5732381700735537,0.3505092365339054,0.3505092365339054,0.387199667795026,0.4877325985501885
3,0.3863049932364284,0.3863049932364284,0.4200582812377124,0.5723480991033423,0.353834671915519,0.353834671915519,0.3886296403654291,0.48931133713150404
4,0.3862354961996614,0.3862354961996614,0.41999078680675955,0.5718236625977144,0.3589686644088165,0.3589686644088165,0.3920472630029171,0.49394439195246737
5,0.38647516547560873,0.38647516547560873,0.42021636029935405,0.5726131486442279,0.3610173873648609,0.3610173873648609,0.39551420424717454,0.4981412004813587
