epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.5334281463507303,0.5334281463507303,0.532473504882831,0.7213888828717017,0.7939438089876731,0.7939438089876731,0.6956161008790072,0.8743417946986587
2,0.3882957105226327,0.3882957105226327,0.45791885721462555,0.621806115511988,0.9885351221642826,0.9885351221642826,0.7948044740288899,0.9997469792458858
3,0.3363822807951092,0.3363822807951092,0.4272536358406016,0.580881675919278,0.9673336919815747,0.9673336919815747,0.7708351712986551,0.9687124320513392
4,0.3094251611122893,0.3094251611122893,0.4100181348691524,0.5573193767353123,0.93584126738532,0.93584126738532,0.7637885864055682,0.9594373388565164
