epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.1669305939398793,0.1669305939398793,0.2533601951568695,0.3607859746580778,0.16699782279629055,0.16699782279629055,0.27246404841013155,0.27028984948024926
2,0.1560987911889323,0.1560987911889323,0.2412782117019601,0.344039294333414,0.16784725066304762,0.16784725066304762,0.27831380606582334,0.27480470115730754
3,0.1533684086408966,0.1533684086408966,0.23883924934176967,0.3404803941497362,0.16561654560014225,0.16561654560014225,0.2755034944526114,0.2727911195258107
4,0.15224361671163966,0.15224361671163966,0.2379079505518415,0.3390778745738463,0.16504622203036623,0.16504622203036623,0.2692287209767922,0.2670417638619544
5,0.15133530375009893,0.15133530375009893,0.23733371244484297,0.33839831376369306,0.15646207383785038,0.15646207383785038,0.25947794597270674,0.25718852909690526
6,0.15059968401663645,0.15059968401663645,0.23679798851168452,0.33768644925453983,0.17176651146384314,0.17176651146384314,0.28260247554625706,0.2791399487680464
