epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.30709034288613374,0.30316863152912055,0.3928037125475566,0.5371046087455766,0.4558612045412395,0.4533229494820825,0.49180733259416015,0.6183419031961318
2,0.1992541475593553,0.19728352281924538,0.3175410050355915,0.43629506631884746,0.5391288072313155,0.5375134963347068,0.5403743869125218,0.682925913575147
3,0.1695975551178359,0.16794626615977104,0.2949684601950033,0.40536261834392373,0.5289905511224436,0.5274974879731746,0.5105610141255248,0.639207322218874
4,0.15237636034628882,0.15088126638119959,0.2812021804678122,0.3865218721128057,0.5215938237275629,0.5201927926434731,0.5393047971917669,0.6773084298526213
