epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.551075041296581,0.546175731378602,0.534823631906565,0.725825346397416,0.6626700010616898,0.6584455145303418,0.5997096193300273,0.75399554935744
2,0.42739026778599676,0.42264088728818827,0.4693341417285606,0.6393512679257105,0.7417811050304955,0.7378482393114709,0.6537168758173325,0.8234249652379366
3,0.3671799685518616,0.3634873902652685,0.4352087668132194,0.5941359685154312,0.6361227726081742,0.6342772950088992,0.6075208033927301,0.7658249308308678
4,0.3213854885820428,0.31832034533281284,0.4078812842328555,0.556820772888199,0.5484525867322525,0.5444508258837252,0.5442991870866222,0.6861629253997965
5,0.2859749399402443,0.2833892931204759,0.3860588913866926,0.5272358290171469,0.7086599776442112,0.7041216261621523,0.6336588060725503,0.7976502467086317
6,0.2589257509596466,0.2567068708576653,0.3681627764759054,0.5031316250654638,0.6608241102675186,0.6565008253800623,0.6097350112577835,0.7678876604557664
