epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.4851277706822817,0.4803585741725554,0.3751514564741591,0.5590250464586863,0.6537734708436305,0.6450803454971391,0.4789409670779539,0.8737409165322301
2,0.3582687010242493,0.35524586140811065,0.29516077583077616,0.43965874756801915,0.6636592145508073,0.6567528820815504,0.4884604244240872,0.887836348097754
3,0.30816807459365186,0.3055805916787943,0.26841672383313797,0.39947809947144663,0.7064844395790243,0.7012641409674668,0.513587125841184,0.9326376709782476
4,,,,,0.6965677262173673,0.6923048011354824,0.5077160366326329,0.9191250910382532
