epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.398209379380546,0.398209379380546,0.3153002390327028,0.4720158877599504,0.5074237581008507,0.5074237581008507,0.3983734876458667,0.729940072222648
2,0.31176967324962435,0.31176967324962435,0.249436801328996,0.3737419052773758,0.5276243564812394,0.5276243564812394,0.4092162006075452,0.7507557223199833
3,0.28609731842114433,0.28609731842114433,0.23031221188317724,0.3451477844611958,0.5405511976963908,0.5405511976963908,0.417406371534101,0.7666330756132567
4,0.2734155122106653,0.2734155122106653,0.22100800321569247,0.3312094634991376,0.5150641069187563,0.5150641069187563,0.39910308500230773,0.7304839197956897
