epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.4032977380409968,0.4032977380409968,0.3114387690395583,0.46556671927466164,0.45212329715818533,0.45212329715818533,0.3528480800228565,0.650006921972083
2,0.3217499173451553,0.3217499173451553,0.2491924622043177,0.37290125712221417,0.49088922973399784,0.49088922973399784,0.3568063603233333,0.6534879952222096
3,0.297136582640777,0.297136582640777,0.23191088200226243,0.34690534220186775,0.5175510157846848,0.5175510157846848,0.38338719220857903,0.6997308656737284
4,0.2847198048257174,0.2847198048257174,0.22502254159673266,0.33646159465034176,0.49162014609798677,0.49162014609798677,0.3521651058087854,0.6391060847783621
