epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.49531071194706905,0.49531071194706905,0.5089728523146965,0.6912815754492209,0.5873361378183921,0.5873361378183921,0.5697349455854872,0.7153684634230592
2,0.3236152608356681,0.3236152608356681,0.4115130032594751,0.560676464914272,0.5861216956978146,0.5861216956978146,0.5705999779092874,0.7158346071819194
3,0.2713847655943882,0.2713847655943882,0.37738933183912077,0.5151643736139454,0.597169251553488,0.597169251553488,0.5809820963212381,0.7303535463272048
4,0.24315500056404926,0.24315500056404926,0.3571587001392393,0.48777738243532653,0.6239225944257449,0.6239225944257449,0.5759648072328486,0.7253554802364681
5,0.22673963108269934,0.22673963108269934,0.345068855494524,0.47142408475250974,0.7083308368486738,0.7083308368486738,0.6401457762660262,0.80665745257311
