epoch,train_loss,train_mse,train_mae,train_nmae,val_loss,val_mse,val_mae,val_nmae
1,0.1257056570626446,0.1257056570626446,0.2243216786708217,0.2925453219787871,0.14478037315589118,0.14478037315589118,0.25900200455932015,0.1213852705029945
2,0.12484287022307398,0.12484287022307398,0.22333832988224459,0.2907834379676165,0.1259949406530394,0.1259949406530394,0.24343054218733884,0.11452009599751811
3,0.12448722264234675,0.12448722264234675,0.22299249981879257,0.29112103455683236,0.12819692626573057,0.12819692626573057,0.247187307530857,0.11643929387870058
4,0.12404129506467143,0.12404129506467143,0.2225734113540966,0.2909788146507576,0.12903091884835297,0.12903091884835297,0.24779556029622096,0.11664433734334782
5,0.12436605625334778,0.12436605625334778,0.2229511792800622,0.29080119447452174,0.13106713923120714,0.13106713923120714,0.24897149133395,0.11707858441678592
